lambda_nm,txx,txy,tyx,tyy
527.0,(0.3946434569351759+0.044155545382613834j),(0.09815294405310523-0.03900606871446505j),(0.09499919786693395-0.03739520148660562j),(0.5797758675276327-0.05465152557563414j)
528.0,(0.3951981079797943+0.03990969289116389j),(0.09715610361998683-0.043622303874202704j),(0.09408618284513559-0.041967364090591965j),(0.5780018790939029-0.06798509956262834j)
528.9999999999999,(0.3960033632933035+0.03577448623764034j),(0.09589482015759782-0.0482238701240006j),(0.09290263437569313-0.04650538730235607j),(0.5759402662381453-0.08121363733706934j)
529.9999999999999,(0.39707856808428776+0.031712397863324464j),(0.0943560700104323-0.052780649882026215j),(0.09145682203023033-0.05099050187438772j),(0.5735880001211532-0.09430992732336994j)
530.9999999999999,(0.3984351188526703+0.027682299610668797j),(0.09254831442515485-0.057259222389349225j),(0.08975510022825088-0.05541028541904212j),(0.5709730705767114-0.10725360218364166j)
532.0,(0.4000768542998243+0.023644040509796033j),(0.09048984613570689-0.061643785990733856j),(0.08779831559974767-0.05975360858931721j),(0.5681263264713126-0.12005602297863675j)
533.0,(0.4020034411435977+0.019560845611931287j),(0.08818619426234324-0.06593119997260892j),(0.08558350063048158-0.06400491567822308j),(0.5650501659875545-0.1327412103887022j)
534.0,(0.4042139002266141+0.015398191330040372j),(0.08562849350245925-0.07010858626377582j),(0.0831092621078109-0.06814202376013748j),(0.5617270580457399-0.1453112321806162j)
535.0,(0.406707558047167+0.011120498352965047j),(0.08281404096883248-0.07414543613838698j),(0.0803808219923452-0.07213880317408851j),(0.5581540531566644-0.15774390900725205j)
535.9999999999999,(0.40948180482894775+0.006688487378799223j),(0.07975982242567957-0.0780105482909952j),(0.07741124959669063-0.07597060251038905j),(0.5543551149461495-0.17002407404739134j)
537.0,(0.4125284271185516+0.0020593777182457717j),(0.07649091008796621-0.08168979383347665j),(0.07421833058494065-0.07961857795611721j),(0.5503558493443955-0.18216440677007756j)
538.0,(0.41583122648171855-0.0028100795882330296j),(0.07302052954519338-0.08518084877008437j),(0.07081953297297901-0.08307016098812518j),(0.5461564359496784-0.19418843457761398j)
538.9999999999999,(0.4193665713025855-0.00795977635849343j),(0.06934888674820051-0.08847318264917947j),(0.06722860162650675-0.08631574417784556j),(0.541738849987577-0.20610023811875866j)
540.0000000000001,(0.42310635892013354-0.013424116485378031j),(0.06548143425559161-0.09154080202463753j),(0.06345591616909524-0.08934419430840276j),(0.5370970101636454-0.21788155965967146j)
541.0,(0.427021202458362-0.019232718775294505j),(0.061441506176059674-0.09435693501900844j),(0.05951205979857368-0.09214036294736425j),(0.5322489779218347-0.22951864659863988j)
542.0,(0.431081636591507-0.02541302007304397j),(0.05726098520899791-0.09691055084086257j),(0.05541197171156215-0.09468618481890154j),(0.5272160841456347-0.2410221340939887j)
542.9999999999999,(0.4352566681008305-0.03199254373590048j),(0.05296220471721151-0.09920333664243272j),(0.051176889028866156-0.09696448397363393j),(0.5219976795889382-0.2524143030336664j)
544.0,(0.4395109222795709-0.038998923932024455j),(0.0485548970832303-0.10123231497554182j),(0.04683293857182538-0.09896293991155336j),(0.516574334753733-0.2637015392836345j)
545.0,(0.44380260638023206-0.046457408633618656j),(0.044051213379422055-0.10298155515354693j),(0.0424074625405794-0.10067578994932484j),(0.5109341079799828-0.27486783853180685j)
