lambda_nm,T_LL,T_LR,T_RL,T_RR
541.0,(0.4807433762259204-0.1234109594982242j),(-0.14586253671492266+0.04466618092435601j),(0.040634761251450005+0.16561974689898937j),(0.47852680415427623-0.1253404058757102j)
542.0,(0.4802610433795514-0.13229307033479845j),(-0.1438655916069459+0.05146807855019234j),(0.0477311440528182+0.1641410354707524j),(0.4780366773575903-0.13414208383223422j)
542.9999999999999,(0.4797466001792837-0.14131076554061078j),(-0.14145441605208714+0.05814133277584413j),(0.054713404563979495+0.1622804265219218j),(0.47750774751048497-0.14309608122895612j)
544.0,(0.4791773160486462-0.150489252352127j),(-0.13862933368062866+0.06465738984827718j),(0.061565921206466506+0.16004522550333286j),(0.4769079409846577-0.15221121086353195j)
545.0,(0.4785212397822185-0.1598407481632914j),(-0.13539442335131127+0.07097587698909337j),(0.06826292175156048+0.1574345529090948j),(0.4762154745779964-0.16148449900213407j)
545.9999999999999,(0.47775117618709123-0.16936544526923042j),(-0.13176975010432+0.07705265320691564j),(0.0747662262596295+0.1544565168448126j),(0.47542018683776915-0.1709183541441734j)
547.0,(0.47684825174350143-0.1790631684272931j),(-0.12778893039781825+0.08285524490374829j),(0.08104027585212731+0.15113619070198342j),(0.4745081519817097-0.1805274424878466j)
548.0,(0.4757930907185625-0.1889393353254834j),(-0.12348386238276676+0.08836742859245017j),(0.08706471407448274+0.14750486188794854j),(0.47344992558408944-0.1903266254402381j)
549.0,(0.47455842703486906-0.19899835590655826j),(-0.11887421982297378+0.09357761390661606j),(0.09282923410477237+0.14358509766346544j),(0.4722074281766837-0.20031547713506634j)
549.9999999999999,(0.4731135507972315-0.2092347485974382j),(-0.11397346614126536+0.09846496344908484j),(0.09831857852145137+0.13939039106084222j),(0.4707507137935818-0.21047852334364717j)
551.0,(0.47143442275757597-0.21963466164161782j),(-0.10880350099242933+0.10299926453986863j),(0.10350735860403634+0.13493875219780957j),(0.4690641700363152-0.2208001777872478j)
552.0,(0.469505677084635-0.2301861415627597j),(-0.10340068083168899+0.1071538270241459j),(0.10837100536275271+0.13026224326678476j),(0.4671356458014564-0.23127559086424507j)
552.9999999999999,(0.4673114038400693-0.24088462457156193j),(-0.09780717690942518+0.11091601660164216j),(0.11289881092479674+0.12540034650692952j),(0.4649429855117345-0.2419047108342202j)
554.0,(0.4648263686447347-0.2517258592980204j),(-0.0920587341045366+0.11428432919107931j),(0.11709303329342904+0.1203854855970882j),(0.4624546615665367-0.25267785180373914j)
555.0,(0.4620194220913131-0.2626942863802702j),(-0.08618252905635207+0.11725743083277351j),(0.12095569281962584+0.11523822695318969j),(0.4596432674325339-0.26357075878343234j)
556.0,(0.4588662599975552-0.27376102250856443j),(-0.08020541296662473+0.11982895406147033j),(0.12447945847150996+0.10997721824587538j),(0.4564953495921245-0.2745547750275175j)
556.9999999999999,(0.4553573333214076-0.2848946184134994j),(-0.07416067057651053+0.12199317016780861j),(0.1276533496140665+0.10463102608439942j),(0.4530063689563524-0.28560949242448375j)
558.0,(0.45149209901108683-0.2960730166268519j),(-0.06808468695026168+0.12375289015765582j),(0.13047582026912388+0.09923735495305903j),(0.44916777504219235-0.2967231268045938j)
559.0,(0.447266250570754-0.3072839469135884j),(-0.06200826502710649+0.12511892784176662j),(0.13295935622633404+0.09383070826099321j),(0.4449619759791318-0.30788119368935374j)
559.9999999999999,(0.442665989768086-0.3185142272765474j),(-0.055953937765276976+0.12610168308559053j),(0.1351213441447231+0.08843308968341093j),(0.4403707592173729-0.3190577245492044j)
561.0,(0.43767483453059697-0.32974042488450417j),(-0.04994288719200185+0.12670548201306364j),(0.13697216216960328+0.08305817272481639j),(0.4353866721114612-0.3302194728163239j)
562.0,(0.43228448832647093-0.3409307953458725j),(-0.044002985626332314+0.12693307088119454j),(0.13851412449297762+0.07772335209976564j),(0.4300139879871575-0.3413378851769154j)
563.0,(0.426497789698713-0.35205528754018867j),(-0.038167710240142844+0.12679534103589193j),(0.13975179844115435+0.07245533791612029j),(0.42425861298001855-0.3523949170525206j)
564.0,(0.42032166930698545-0.3630920710146799j),(-0.03246621071385794+0.12631477225529184j),(0.1407012075562686+0.06728302296089497j),(0.4181190107903392-0.36337657981786653j)
565.0,(0.41375917836016535-0.37402425320840715j),(-0.026915179097967035+0.12551789240666072j),(0.14138727200682671+0.06222609184645306j),(0.4115884053549241-0.37426246100110416j)
565.9999999999999,(0.40680955512627787-0.3848321317269623j),(-0.021521465804526657+0.12442429425907847j),(0.1418325511025131+0.057292256810992426j),(0.4046651180437863-0.3850236405467937j)
566.9999999999999,(0.39947511750639125-0.3954908273169858j),(-0.01629273067381347+0.12304354689258265j),(0.14204988554245268+0.0524857993203506j),(0.3973587479015995-0.39563130300580285j)
568.0000000000001,(0.3917658363664865-0.40597600093797664j),(-0.011244953103796002+0.12138272201006078j),(0.1420465734664906+0.0478175149718712j),(0.38968506294498745-0.40606611124479214j)
569.0,(0.3836956116110319-0.4162705265411201j),(-0.006399420536380471+0.1194560600643742j),(0.1418346614324788+0.04330522522646329j),(0.38165539555342903-0.4163178559457577j)
569.9999999999999,(0.37527430068416895-0.42636385111061653j),(-0.0017731847060946937+0.11728665038441619j),(0.14143562805416485+0.038964987643279075j),(0.3732722668210385-0.4263760290193305j)
570.9999999999999,(0.3665047081777741-0.4362442786917571j),(0.0026266068334465376+0.11489905288636623j),(0.140874603685858+0.03480324810033856j),(0.364535723185296-0.4362219200467482j)
572.0,(0.35738830701414087-0.44589265013316154j),(0.006799038683677122+0.11231123968741016j),(0.14017095976975855+0.030818513151672368j),(0.35545303952272705-0.4458307838588768j)
